Repo Name,Stars,Watches,Forks,Issues,Open Issues,Opened Issues,Closed Issues,Average Issue Open Time,Pull Requests,Open Pull Requests,Opened Pull Requests,Merged Pull Requests,Closed Pull Requests
code-gov,17,16,10,18,8,0,0,NaN,28,0,1,1,0
code-gov-front-end,23,11,34,135,26,0,0,46.48389178240741,125,9,7,9,1
code-gov-api,35,15,23,149,26,0,1,32.767459705075446,170,0,0,0,0
code-gov-api-client,3,13,10,8,3,0,0,NaN,13,1,0,0,0
code-gov-font,1,3,2,0,0,0,0,NaN,5,0,0,0,0
code-gov-harvester,2,5,4,9,5,0,0,NaN,14,2,2,0,0
code-gov-developer-docs,3,12,5,1,0,0,0,NaN,9,0,0,0,0
code-gov-style,11,12,18,32,6,0,0,NaN,59,2,0,0,0
code-gov-adapters,0,4,2,3,2,0,0,NaN,3,0,0,0,0
code-gov-validator,0,4,4,1,1,0,0,NaN,2,0,0,0,0
code-gov-integrations,0,4,2,2,1,0,0,NaN,5,1,0,0,0
json-schema-web-component,1,4,2,3,2,0,0,NaN,2,0,0,0,0
json-schema-validator-web-component,1,4,1,2,2,0,0,NaN,0,0,0,0,0
code-gov-about-page,1,4,6,4,0,0,0,NaN,11,0,0,0,0
code-gov-fscp-react-component,0,4,7,8,3,0,0,NaN,8,0,0,0,0
code-gov-data,2,12,4,6,5,0,0,NaN,20,0,0,0,0
TOTAL,100,127,134,381,90,0,1,,474,,,,
